[English Conversation 19](#English-Conversation-19)  
  
## English Conversation 19
[English Conversation 19](https://www.youtube.com/watch?v=Y7DIw84LOEU)   
  
  
__|__
--|--
mirror|зеркало
mirror mirror on the wall|Зеркало, зеркало на стене
who's the fairest of them all|кто самый честный из них всех
hey|Привет
it's the new girl|это новая девушка
hello I'm Elena|привет я елена
come in come in|входи входи
so good to see you Elena|так приятно видеть тебя Елена
I'm Agatha|Я агата
Agatha Johnson|Агата Джонсон
pleased to meet you mrs Johnson|рад познакомиться с вами, миссис Джонсон
welcome to the Johnson family|добро пожаловать в семью Джонсон
um|ммм
I come from Madrid|Я приехал из мадрида
oh no no|о нет нет
welcome to the Johnson family|добро пожаловать в семью Джонсон
my family is in Spain|моя семья в Испании
yes|да
yes I know|Да, я знаю
you must be tired after your long journey|ты должно быть устал после долгого путешествия
sorry I don't understand|извини я не понимаю
my english is not very good|мой английский не очень хорош
you must be tired after your journey|ты должно быть устал после путешествия
yes very tired|да очень устал
very long journey|очень долгое путешествие
yes|да
well now|Ну что ж
let's sit down together|давай сядем вместе
oh|ой
thank you|Спасибо
is everything all right|Все хорошо
everything is all right|все в порядке
mrs Johnson|миссис Джонсон
no you call me Agatha|нет ты зовешь меня агата
ah all right thank you Agatha|ах ладно, спасибо, Агата
you're part of the family now|теперь ты часть семьи
the part of the family|часть семьи
yes|да
my family my brother oh me|моя семья, мой брат, о мне
oh um I have four brothers|о, у меня четыре брата
four brothers|четыре брата
wow wow that's nice|вау вау это мило
they're big boys|они большие мальчики
really what about sisters|действительно как насчет сестер
I also have three sisters|У меня также есть три сестры
oh dear that's too many|о боже, это слишком много
my family is a very big many people|моя семья очень большая, много людей
yes Elena that's nice|да Елена, это мило
you have a big family|у вас большая семья
I have a small family|У меня маленькая семья
now an extra person me|теперь лишний человек я
yes Elena you're one of the family now|да, Елена, ты теперь одна из семьи
thank you Agatha that's nice|спасибо Агата, это мило
well now it's tea time|ну теперь время чая
oh good|о, хорошо
one cup of tea two cups of tea|одна чашка чая две чашки чая
yes that's right|Да все верно
I'll take your bags to your room|Я отнесу твои сумки в твою комнату
then go into the kitchen|затем иди на кухню
what what heavy bags|какие тяжелые сумки
yes many bags|да много сумок
no no it's a heavy heavy bags|нет нет это тяжелые тяжелые сумки
oh yes heavy very heavy bags|о да тяжелые очень тяжелые сумки
okay I'll be right back|хорошо, я скоро вернусь
all right|все в порядке
hmm|хм
here we are|мы здесь
tea four two|чай четыре два
thank you|Спасибо
milk and sugar|молоко и сахар
yes please|Да, пожалуйста
have a biscuit|есть печенье
they're homemade|они домашние
no thank you|нет, спасибо
now you must tell me about yourself|теперь ты должен рассказать мне о себе
your family mom dad|твоя семья мама папа
I have four brothers|У меня четыре брата
and three sisters|и три сестры
well I'm a student and I go to a language school|ну я студент и хожу в языковую школу
to study english|изучать английский
yes|да
my english is not very good|мой английский не очень хорош
no no no no|нет нет Нет Нет
it's quite good|это неплохо
where is the school|где школа
it's near here on exeter avenue|это недалеко здесь, на авеню Эксетера
that's very close|это очень близко
good|хороший
just 10 minutes|всего 10 минут
oh that's easy|о, это легко
perhaps Victor could take you by car|возможно Виктор мог бы отвезти тебя на машине
Victor who's Victor|Виктор, кто такой Виктор
my brother|мой брат
your brother|твой брат
that is a photo of Victor|это фото Виктора
oh|ой
he's a big boy|он большой мальчик
well he's 25.|ну ему 25.
and that is my boyfriend Harold|и это мой парень Гарольд
your boyfriend|твой парень
he works in a bank|он работает в банке
in a bank|в банке
that's my brother Alan|это мой брат Алан
or your brother|или твой брат
he lives in Sydney|он живет в Сиднее
in Australia|в Австралии
yes he loves it|да, он любит это
oh I want to see Australia|о, я хочу увидеть Австралию
me too|я тоже
perhaps one day|возможно однажды
and|а также
and who's that photo|и кто это фото
oh that's just my sister Betty|о, это просто моя сестра Бетти
or your sister|или твоя сестра
she lives near here|она живет рядом здесь
I see her every day|Я вижу ее каждый день
every day|ежедневно
yes|да
we go shopping together|мы вместе ходим по магазинам
you go shopping|ты ходишь по магазинам
she's a very difficult person|она очень сложный человек
but she's your sister|но она твоя сестра
yes|да
she's a very difficult sister|она очень трудная сестра
and this|и это
this is a photo of my mother and my father|это фото моей матери и моего отца
your mother and your father|твоя мать и твой отец
your parents|ваши родители
yes my parents|да мои родители
on their anniversary day|в день их годовщины
sorry I don't understand|извини я не понимаю
on the day that they got married|в тот день, когда они поженились
oh oh yes that anniversary day|о, да, в тот юбилейный день
yes|да
and here is the rest of my family|а вот и остальные члены моей семьи
oh that's interesting|о, это интересно
oh|ой
that's Victor oh he is punctual like always|это Виктор, о, он пунктуален, как всегда
he arrives at home at five o'clock|он приходит домой в пять часов
every day|ежедневно
every day|ежедневно
he lives here|он живет здесь
yes he lives with me|да он живет со мной
oh he lives here|о, он живет здесь
yes with my cat Felix|да с моим котом феликсом
oh your cat Felix|о, твой кот Феликс
and my canary Tweety your canary Twitter|и моя канарейка Твити твит твит канарейка
hello Victor|привет Виктор
come in and meet Elena|заходи и познакомься с Еленой
hello darling|Здравствуй дорогой
hi Agatha|привет Агата
who are you|кто ты
I'm Elena|Я елена
darling this is Elena|дорогая, это Елена
uh Elena|ээ, Елена
hello Elena|привет елена
uh what are you doing here|что ты здесь делаешь
she's staying with us sweetheart|она остается с нами, дорогая
why don't you tell me about these things|почему бы тебе не рассказать мне об этих вещах
oh I do I do I tell you everything darling|о, я делаю, я говорю тебе все, дорогая
Elena this is my gorgeous brother Vic|Елена это мой великолепный брат Вик
he's very handsome very clever and very forgetful|он очень красивый очень умный и очень забывчивый
I'm studying english here|Я изучаю английский здесь
I come from Madrid nice to meet you|Я приехал из Мадрида, приятно познакомиться
studying english|изучая английский
yes I want to speak a good english|да я хочу говорить на хорошем английском
and become a tourist guide|и стать туристическим гидом
lovely|прекрасный
lovely girl|милая девушка
where|где
where are you studying|где вы учитесь
at the queen school on exeter avenue|в школе королевы на авеню Эксетер
you know it|ты это знаешь
do I know it Agatha|я знаю это Агата
do I know the school|я знаю школу
of course darling|конечно, дорогая
of course he does|конечно он делает
of course I do|конечно, я делаю
silly me|я такой глупый
silly you|ты глупый
silly you|ты глупый
well|Что ж
I think that we are going to have a wonderful time with Elena staying here|Я думаю, что мы прекрасно проведем время с Еленой, остановившись здесь
yes a wonderful time|да чудесное время
thank you|Спасибо
how long are you going to be in London|как долго ты собираешься быть в Лондоне
that's right|вот так
get to know each other and I'll go start dinner|узнайте друг друга, и я пойду начать ужин
can I help you Agatha|могу ли я помочь тебе Агата
no sweet girl you stay right where you are|Нет, милая девушка, оставайся там, где стоишь
all right|все в порядке
when did you arrive|когда ты прибыл
uh today and you'll be staying with us until you go back to Spain|эээ сегодня, и ты останешься с нами, пока не вернешься в Испанию
when|когда
um I go back to Madrid after my english course and my language course is eight weeks|эм, я возвращаюсь в Мадрид после курса английского, и мой языковой курс длится восемь недель
love is in the air|любовь витает в воздухе
love is in the air|любовь витает в воздухе
I'm sorry my sisteris a little eccentric|Извини, моя сестра немного эксцентричная
your sister is very nice|твоя сестра очень милая
tell me tell me about your family Elena|расскажи мне расскажи мне о своей семье елена
I have many uh sister and brothers|У меня много сестер и братьев
are you the oldest|ты самый старший?
uh|ээ
no I have two brothers and one sister|нет у меня есть два брата и одна сестра
who are older|кто старше
older older than you|старше тебя
yes and my my mother is Carmen and my father is Fernando|да и моя мама - Кармен, а мой отец - Фернандо
and this is your first time away from Madrid|и это ваш первый раз вдали от Мадрида
yes um I'm happy uh to be in London but also I'm a little sad|да, я рад быть в Лондоне, но мне немного грустно
uh you miss|ты скучаешь
uh you miss your big family|ты скучаешь по своей большой семье
yes but|Да, но
but you are very kind and you are very nice|но ты очень добрый и очень милый
thank you and|Спасибо и
what does your father do back in Madrid|чем занимается твой отец в Мадриде
what's his job|кем он работает
he makes this and and this um|он делает это и это эм
um oh he makes|эм ой он делает
he makes furniture|он делает мебель
yes yeah|да да
and your mother does she work|а твоя мама работает
my mother works very hard in the house|моя мама очень много работает по дому
cooking washing cleaning|готовка мытье чистка
your mother is a housewife|твоя мама - домохозяйка
a housewife|домохозяйка
so how are you getting along|так как у тебя дела
uh just fine thanks Agatha|просто отлично спасибо, Агата
very fine thank you|очень хорошо спасибо
wonderful|замечательно
now come and help me set the table|теперь иди и помоги мне накрыть на стол
okay|Ладно
can I help|могу ли я помочь
all right yes please|хорошо да пожалуйста
set the table deare|накрыть на стол дорогой
set the table|накрывать на стол
I'll help you|я тебе помогу
oh|ой
that's a good boy|это хороший мальчик
the plates|тарелки
is your boyfriend Harold eating with us|твой парень Гарольд ест с нами?
no Harold is in Oxford|нет Гарольда в Оксфорде
Harold's bank has an office in Oxford|У банка Гарольда есть офис в Оксфорде
