[English Conversation 38](#English-Conversation-38)  
  
## English Conversation 38
[English Conversation 38](https://www.youtube.com/watch?v=oMe5oKH0Vqk&t=1466s)   
  
  
__|__
--|--
hi I'm Yvonne Lee|привет, я Ивонн Ли
welcome|добро пожаловать
hi Cloudy Oliveira|привет Клауди Оливейра
please have a seat|пожалуйста, присядь
thanks very much for coming in|большое спасибо, что пришли
did you bring your resume|ты принес свое резюме?
yes you are|Да Вы
great|большой
Thanks|Благодарность
first let me tell you a little bit about the job|сначала позвольте мне рассказать вам немного о работе
we're looking for someone to sell our new software product internationally|мы ищем кого-нибудь для продажи нашего нового программного продукта на международном уровне
the job requires flexibility independence and most importantly a pleasant manner with customers|работа требует гибкости, независимости и, самое главное, приятного отношения к клиентам
I agree that's important|Я согласен, это важно
I've worked in sales for years and have always tried to really listen to my customers to find out what they need|Я много лет работал в сфере продаж и всегда старался прислушиваться к своим клиентам, чтобы узнать, что им нужно.
I think I'm really good at that|Я думаю, что я действительно хорош в этом
that's great|замечательно
so tell me a little bit about your experience with software programs|так что расскажи мне немного о своем опыте работы с программами
well I've trained people how to use a similar software product for the past two years at my current job|хорошо, я обучал людей тому, как использовать аналогичный программный продукт за последние два года на моей нынешней работе
so I really feel I know the product and customer needs|поэтому я действительно чувствую, что знаю продукт и потребности клиентов
hmm interesting and your sales experience|хм интересно и ваш опыт продаж
I've been with my present company for three years and in my present position since last year|Я работаю в моей нынешней компании три года, а в моей нынешней должности с прошлого года.
in that time I've been named salesperson of the month three|за это время меня назвали продавцом третьего месяца
times and have taken top sales Awards several times as well|раз и несколько раз получали награды за высшие продажи
impressive|впечатляющий
I'm also taking graduate courses right now in marketing|Я также сейчас учусь в аспирантуре по маркетингу
I feel it really helps me understand the market better especially the competition|Я чувствую, что это действительно помогает мне лучше понять рынок, особенно конкуренцию
you've been very busy miss Oliveira|вы были очень заняты мисс Оливейра
well thanks very much for coming in|ну спасибо большое что пришли
we'll be in touch|мы будем на связи
okay okay|хорошо хорошо
Hi Bill|Привет Билл
I just interviewed a woman for that software sales position|Я только что взял интервью у женщины на эту должность по продажам программного обеспечения.
how did it go|как прошло
very well|отлично
do you think she's right for the job|как вы думаете, она подходит для работы
I think so|я так думаю
she is a high energy level and a lot of experience|у нее высокий уровень энергии и большой опыт
okay let's all for her the job|хорошо, давайте все для нее работа
great|большой
hello|Здравствуйте
hello|Здравствуйте
Claudia Oleifera please|Клаудиа Олейфера, пожалуйста
she can't come to the phone right now may take a message|она не может сейчас подойти к телефону может принять сообщение
yes please tell her that Yvonne Lee called|да, скажите ей, что звонила Ивонн Ли
okay|Ладно
come on we're gonna be late for our roads class|давай, мы опоздаем на наш класс дорог
oh by the way that is a phone call from some woman called Yvonne|о, кстати, это телефонный звонок от женщины по имени Ивонн
Yvonne something|Ивонн что-то
hello|Здравствуйте
Aloha Tara it's me Claudia|Алоха Тара это я Клаудиа
hi Claudia what's up|привет Клаудия, как дела
a friend of mine invited me to a luau tonight|мой друг пригласил меня сегодня вечером в луау
she told me to bring friends|она сказала мне привести друзей
would you like to join us|Не хочешь присоединиться к нам
sure what's a luau|конечно, что такое луау
it's like a Hawaiian barbecue|это как гавайское барбекю
you wear Hawaiian shirts drink pineapple juice dance it's fun you know|Вы носите гавайские рубашки, пьете ананасовый сок, танцуете, это весело, знаете ли
sounds great|звучит здорово
I'd love to go|я хотел бы пойти
great is sun-hee there|великолепно солнышко там
I'd like to invite her as well|Я тоже хочу ее пригласить
she's right here let me ask her|она здесь, позволь мне спросить ее
son he|сын он
would you like to go to a luau tonight|не хочешь пойти сегодня вечером в луау?
the Hawaiian kind|гавайский вид
yeah I would|да я бы
um wait I can't|подожди, я не могу
I promised Takeshi|Я обещал Такеши
I'd help him with this film project tonight|Я бы помог ему с этим кинопроектом сегодня вечером
well bring him along|хорошо возьми его с собой
Claudia said it's okay to bring friends|Клаудия сказала, что можно приводить друзей
okay|Ладно
Takeshi|Такеши
yeah|да уж
hey listen|Эй Слушай
after we work on your film project tonight|после того, как мы поработаем сегодня над вашим кинопроектом
would you be interested in going to a party|Вы бы хотели пойти на вечеринку
it's a Hawaiian luau|это гавайский луау
that sounds interesting|это звучит интересно
I'd love to|с удовольствием
can I come|могу ли я прийти
sure|конечно
Tara said to bring friends|Тара сказала привести друзей
great|большой
I'll call him right away see you tonight|Я позвоню ему прямо сейчас, увидимся сегодня вечером
hello|Здравствуйте
hey Mike|эй Майк
hi, Takeshi|привет Такеши
what's up|что происходит
how would you like to go to a Hawaiian party tonight|как бы ты хотел пойти сегодня на гавайскую вечеринку?
sure|конечно
hey why don't we invite Roberto, too|эй, почему бы нам тоже не пригласить Роберто
he loves parties|он любит вечеринки
yes Sun-he said we could bring friends|да Солнце - он сказал, что мы можем привести друзей
okay great|хорошо отлично
I'll give them a call|Я позвоню им
hello|Здравствуйте
hi Roberto|привет Роберто
its Mike|это Майк
would you like to go to a party tonight|не хочешь пойти на вечеринку сегодня вечером?
it's gonna be really fun|это будет действительно весело
that sounds great|это звучит здорово
but I can't|но я не могу
I have to go to some luau tonight with Claudia|Я должен пойти сегодня вечером в какой-нибудь Луау с Клаудией
maybe next time|может в следующий раз
have fun|радоваться, веселиться
okay|Ладно
who is that|кто это
what was Mike|кем был Майк
he invited me to some party tonight|он пригласил меня на вечеринку сегодня вечером
no|нет
this is going to be a great trip|это будет отличное путешествие
I've never been to Mexico have you|Я никогда не был в Мексике, а ты
no I haven't|нет я не
have you finished everything|ты закончил все?
oh my gosh|о боже
where's my bag|где моя сумка
it's in the closet|это в шкафу
of course|конечно
I'm the only one who's organized around here|Я единственный, кто здесь организован
I ran errands all day|Я бегал по делам весь день
and I'm ready exhausted but ready|и я готов измучен но готов
what did you have to do|что ты должен был сделать
well first I had to confirm my flight my ticket|ну сначала мне нужно было подтвердить свой рейс мой билет
where's one ticket|где один билет
have you seen it|ты видел это
I saw it in the bathroom|Я видел это в ванной
the bathroom|ванная комната
are you sure|Ты уверен
so straight|так прямо
got it|понял
then I have to get traveler's checks|тогда мне нужно получить дорожные чеки
oh my money|о мои деньги
I've lost my wallet|Я потерял свой бумажник
then I had to pay the electricity and the phone bills because someone forgot|потом мне пришлось оплачивать электричество и телефонные счета, потому что кто-то забыл
and then I had to change my voicemail message|а затем мне пришлось изменить сообщение голосовой почты
my cellphone|мой мобильный телефон
I don't remember where I put my cell phone|Я не помню, куда положил свой мобильный
it's in the kitchen|это на кухне
kitchen|кухня
these two they're never prepared|эти двое никогда не готовы
what would they do without me|что бы они делали без меня
how true|насколько правильно
hey don't forget to unplug your TV and electrical stuff before you go|эй, не забудьте отключить телевизор и электрооборудование перед уходом
done|сделанный
Sun-hee we're late it's time to go|Вс-хи, мы опоздали, пора идти
okay|Ладно
hey Mike|эй Майк
I have to go we're leaving for the airport|Мне пора мы уезжаем в аэропорт
bye Mike|пока Майк
cool|прохладно
have a great trip girls|удачной поездки, девочки
bye|до свидания
okay|Ладно
does everybody have everything|у всех есть все
yep|Ага
tickets, bag,  coat|билеты, сумка, пальто
yep|Ага
everything|все
let's go|пойдем
okay okay|хорошо хорошо
Mexico|Мексика
now Mexico|теперь Мексика
Here we come|Вот и мы
so when do you start your new job|так когда ты начнешь новую работу
I'm not sure|Я не уверен
I may start as soon as next month|Я могу начать уже в следующем месяце
Wow|Вау
yeah|да уж
it's going to be a lot of fun|это будет очень весело
except I'll have to learn how to use that new software program|за исключением того, что мне нужно научиться использовать эту новую программу
I told you about|Я говорил тебе о
don't worry I'm a software expert|не волнуйтесь, я эксперт по программному обеспечению
I'll help you figure it out|Я помогу тебе разобраться
Thanks|Благодарность
hey what about your job|эй как насчет твоей работы
your boss was transferred to the Asian office|ваш босс был переведен в азиатский офис
are you going to get promoted|вы собираетесь получить повышение?
I might|Я мог бы
I might not|Я не могу
no big deal|ничего страшного
huh I've been thinking lately|да, я думал в последнее время
I don't plan on working my whole life|Я не планирую работать всю свою жизнь
someday maybe in five years or so|когда-нибудь может быть через пять лет или около того
I'm going to quit my job and get out of this stressful life|Я собираюсь бросить работу и уйти из этой стрессовой жизни
you know relax have some fun|ты знаешь, расслабься, повеселись
Oh what are you planning to do|О, что ты собираешься делать
I'm definitely going to travel|Я обязательно поеду
I might even move to another country|Я могу даже переехать в другую страну
maybe work is a volunteer|может работать волонтером
I could even start a new career|Я мог бы даже начать новую карьеру
maybe one where I can help people or out the world|может быть тот, где я могу помочь людям или миру
what about you|А вы
what are your plans|Каковы ваши планы
well I've pretty much got everything planned already|ну, я уже почти все спланировал
right up to my retirement|вплоть до моей пенсии
really|действительно
yep|Ага
I'm going to work hard and save as much money as possible until I'm about 30 31|Я буду много работать и сэкономить как можно больше денег, пока мне не исполнится 30 31
then I'm going to become the vice president of finance|тогда я собираюсь стать вице-президентом по финансам
and then the CEO by the time I'm 40|а потом генеральный директор к 40 годам
maybe 45|может быть 45
yeah|да уж
yep|Ага
and when I'm 35 or 36|и когда мне 35 или 36
I'm going to settle down get married and have some kids|Я собираюсь остепениться, выйти замуж и завести детей
oh you are you|ах ты ты
you know that for a fact|ты знаешь это на самом деле
well it's not a fact yet|ну это еще не факт
but really if you want to succeed|но на самом деле, если вы хотите добиться успеха
you need to have clear-cut well-defined goals and aspirations|у вас должны быть четко определенные цели и стремления
I don't know|Я не знаю
I think you should keep your options open|Я думаю, тебе стоит оставить свои варианты открытыми
you know go with the flow|ты знаешь плыть по течению
go with the flow|плыть по течению
OK|ОК
so you're not nervous about the promotion|так что вы не нервничаете по поводу продвижения
I didn't say that|Я не говорил этого
it just won't be the end of the world if I don't get it|это просто не будет концом света, если я не пойму
what about you|А вы
are you nervous about the new job|ты нервничаешь по поводу новой работы?
not really|на самом деле, нет
I'm just going to go with the flow as knowing as the flow follows my plan|Я просто буду плыть по течению, зная, что поток следует моему плану
I can't believe how hot it is out there|Я не могу поверить, как жарко там
why din't we go to Hawaii with everyone else|почему бы нам не поехать на Гавайи со всеми остальными
because we didn't have the money|потому что у нас не было денег
wellwhy didn't we get an air-conditioner|ну почему мы не получили кондиционер
hello|Здравствуйте
same reason|той же причине
and quit complaining|и перестань жаловаться
we've got air conditioning|у нас есть кондиционер
Mike that's a bowl of ice and a fan|Майк, это миска со льдом и веер
Takeshi you've got to be more like me|Такеши, ты должен быть больше похож на меня
and use your imagination then you too|и используйте свое воображение, тогда вы тоже
can have a beach vacation|можно провести отпуск на пляже
see|увидеть
check out that gorgeous view|посмотри на этот великолепный вид
right but not exactly realistic|правильно, но не совсем реалистично
okay|Ладно
come over here|иди сюда
close your eyes|закрой глаза
feel that cool ocean breeze|почувствуйте этот прохладный океанский бриз
Mike, that's the fridge|Майк, это холодильник
come on|Ну же
I said use your imagination now close your eyes listen to the sound of the seagulls here the|Я сказал, используйте свое воображение, теперь закройте глаза, послушайте звук чаек здесь
children laughing|дети смеются
why I think I can even smell a barbecue hot dogs|почему я думаю, что я даже чувствую запах хот-догов барбекю
don't worry|не волнуйся
I'm gonna cook him up on|Я собираюсь приготовить его
that grill over there|тот гриль там
Mike you know you're not allowed to use a grill inside an apartment right|Майк, ты же знаешь, что тебе нельзя пользоваться грилем в квартире.
okay ah I'll use the microwave|хорошо а я воспользуюсь микроволновой печью
a beach with a microwave|пляж с микроволновой печью
sure like|конечно как
that's the beauty of imaginary beach|это красота воображаемого пляжа
we've got a microwave oven we've got a TV with a remote control|у нас есть микроволновая печь у нас есть телевизор с пультом
who could ask for anything more|Кто бы мог попросить что-нибудь больше
what about water|как насчет воды
that's the main reason people go to the beach|это основная причина, по которой люди ходят на пляж
what do you use for that|что ты используешь для этого
the bathtub|ванна
no that would be silly|нет, это было бы глупо
here we go|вот так
feel the ocean mist|почувствовать океанский туман
that's my spring plants not me|это мои весенние растения, а не я
you know the sound of the waves the ocean mist|Вы знаете шум волн, океан тумана
makes me want to surf|заставляет меня заниматься серфингом
Mike no|Майк нет
you can't stand on that|ты не можешь стоять на этом
you're break it|ты сломаешь это
no I won't|нет я не буду
look at me dude|посмотри на меня чувак
I'm hanging 10|Вешаю 10
yeah, cool|да круто
hey dude|Эй чувак
watch out for that wave|берегись этой волны
huh|ага
I'm getting the hang of this imagination thing|Я овладеваю этой штукой воображения
very funny|очень смешно
very funny indeed|действительно очень смешно
[Music]|[Музыка]
so what are today's headlines|так что сегодня заголовки
I don't know I'm reading the important stuff|Я не знаю, что читаю важные вещи
like my horoscope in the entertainment section|как мой гороскоп в разделе развлечений
hey look at this|эй посмотри на это
James Hammond is playing at CBGB's tonight|Джеймс Хаммонд сегодня играет в CBGB
James Hammond isn't he that famous blues guitarist|Джеймс Хаммонд - не тот самый известный блюзовый гитарист
the guy with the silver guitar and the long black hair|парень с серебряной гитарой и длинными черными волосами
no that's Kevin Diamond|нет, это Кевин Даймонд
James Hammond is the singer|Джеймс Хаммонд - певец
his short spiky hair|его короткие колючие волосы
and he always worth that really cool white suit|И он всегда стоит того действительно крутого белого костюма
I know him|я знаю его
he's great|он отличный
let's go|пойдем
oh man|о чувак
it's sold out|это продано
oh hey look|эй, смотри
that's Anna|это анна
Anna Markovic|Анна Маркович
what|какие
over there|там
the one sitting down|тот, кто сидит
wearing the pink shirt|в розовой рубашке
no a really pretty one with the long hair and glasses|не очень красивая с длинными волосами и в очках
you know her|ты знаешь ее
she was in our building|она была в нашем здании
she's a journalist|она журналист
she writes all the music reviews for The Village Voice|она пишет все музыкальные обзоры для The Village Voice
well what are you waiting for|Ну, что же вы ждете
go over there|иди туда
go ask her if she can get us some tickets for tonight|иди спроси ее, может ли она достать нам билеты на сегодня вечером
are you kidding|Ты шутишь
I can't do that|Я не могу этого сделать
I hardly know her|Я почти не знаю ее
well maybe  I can|ну может я смогу
do you ever get them up here|ты когда-нибудь поднимал их сюда?
sometimes I go|иногда я хожу
hi Anna|Привет Анна
how are you|как поживаешь
oh hi Takeshi|о привет Такеши
I'm great|У меня все отлично
what's up|что происходит
not much|немного
so you're still writing for The Village Voice|так что вы все еще пишете для The Village Voice
yeah a dedicated music reviewer|да, преданный музыкальный обозреватель
that's me|это я
as a matter of fact|собственно говоря
I'm reviewing the show tonight|Я просматриваю шоу сегодня вечером
James Hammond|Джеймс Хэммонд
James Hammond I love him|Джеймс Хаммонд, я люблю его
my roommate and I were just talking about how much we'd like to see that show|мой сосед и я только что говорили о том, как сильно мы хотели бы увидеть это шоу
really|действительно
actually I've got two tickets|на самом деле у меня есть два билета
two tickets|два билета
that'd be great|это было бы здорово
terrific it's a date|потрясающе это свидание
you  and I can go together|ты и я можем пойти вместе
meet me outside our building at 7:00 okay|встретимся у нашего дома в 7:00, хорошо
okay|Ладно
see you then|тогда увидимся
see you tonight|увидимся вечером
bye|до свидания
well did she have any tickets|хорошо, были ли у нее билеты
yeah|да уж
we're leaving at 7:00|мы уезжаем в 7:00
fantastic man|фантастический человек
we're not going to have a lot of time|у нас не будет много времени
we gotta go pay my share like|мы должны заплатить мою долю, как
I meant ana and I are leaving at 7:00|Я имел в виду Ана, и я уезжаю в 7:00
somehow  I got a ticket and a date with Ana Markovic|как-то я получил билет и свидание с Аной Маркович
you're kidding me|вы шутите
that's great|замечательно
you don't mind if I go without you|ты не против, если я пойду без тебя
no don't worry about it|нет не беспокойся об этом
there's plenty of concerts but there's only one Anna Markavitch|концертов много, а есть только одна Анна Маркавич
besides I have more important things to do|кроме того, у меня есть дела поважнее
[Music]|[Музыка]
Tara are you still reading the personal ads|Тара ты все еще читаешь личные объявления
yep|Ага
you know those ads will never help you find a relationship|вы знаете, что эта реклама никогда не поможет вам найти отношения
yes they will|Да, они будут
I've already been on three dates|Я уже был на трех свиданиях
yeah and you're still looking|да, а ты все еще ищешь
well it's just that I haven't found the right person yet|ну просто я еще не нашел нужного человека
I don't get it|Я не понимаю
you've been on three unsuccessful dates|ты был на трех неудачных свиданиях
and you still think it's a good idea|и ты все еще думаешь, что это хорошая идея
why|Зачем
well for one thing I wouldn't say all my dates have been completely unsuccessful|ну, во-первых, я бы не сказал, что все мои свидания были совершенно неудачными
I may not have met mr. Right yet|Возможно, я не встречал MR. Еще прямо
but I've still had fun|но мне все еще было весело
yeah but you can have fun anywhere|да, но ты можешь повеселиться где угодно
you don't need to go searching through a newspaper for mr. Right|Вам не нужно искать в газете MR. Правильно
Son-I it can happen|Сын-я, это может случиться
my friend Karen just got engaged to a man she met through the personals|моя подруга Карен только что обручилась с мужчиной, с которым познакомилась через личные знакомства
and she dated lots of men before she met him|и она встречалась со многими мужчинами, прежде чем встретила его
and that means|и это значит
never give up|никогда не сдавайся
ooh his one|ох его один
romantic handsome|романтичный красавчик
well-built male looking for attractive female for casual dating|хорошо сложенный мужчина ищет привлекательную женщину для случайных свиданий
he's probably a total Romeo|он наверное настоящий Ромео
romantic casual dating|романтические случайные знакомства
there's no way he's sincere|нет никакой возможности он искренний
stop it|прекрати это
hey here's one|эй вот один
are you attracted to intelligence|тебя привлекает интеллект?
do you enjoy a good personality|тебе нравится хорошая личность?
our good looks important that looks aren't everything|наша внешность важна, это еще не все
hmm good personality looks aren't everything|хм, хорошая индивидуальная внешность - это еще не все
sounds like he might not be too cute|звучит так, будто он может быть не слишком милым
why do you say that|Почему ты это сказал
you've never even met him|ты даже не встречал его
well first of all|ну прежде всего
he's writing about his good personality and intelligence|он пишет о своей хорошей личности и интеллекте
and second of all|и во-вторых
he's saying that look shouldn't be important for the person he dates|он говорит, что внешний вид не должен быть важен для человека, с которым встречается
which probably means he is not that attractive|что, вероятно, означает, что он не такой привлекательный
you are so fussy|ты такой суетливый
no wonder you haven't tried dating through the personals yet|Неудивительно, что вы еще не пробовали встречаться через знакомства
if you must know I did answer a personal ad once|если вы должны знать, я однажды ответил на личное объявление
yeah|да уж
what happened|что случилось
we went out for dinner and all he did was talk about himself and his old girlfriend|мы пошли ужинать, и все, что он делал, это говорил о себе и своей старой девушке
oh it was awful|о, это было ужасно
okay that does sound terrible but they're not all bad|хорошо, это звучит ужасно, но они не все плохие
hmm maybe you're right|хм может ты прав
let's see what else do you have here|давай посмотрим, что еще у тебя здесь
here's one|вот один
intelligent female seeks interesting Sunday afternoon activity other than sitting at home reading silly personals|умная женщина ищет интересных занятий в воскресенье после обеда, кроме сидения дома и чтения глупых знакомств
really into Brad Pitt|действительно в Брэда Питта
feels like seeing his new movie|хочется посмотреть его новый фильм
alright let's go|хорошо пойдем
what time are your new boss and her husband getting here|во сколько приедет твой новый босс и ее муж
any minute now|в любую минуту
oh I'm so nervous|о, я так нервничаю
Roberto here|Роберто здесь
have some soda|есть немного газировки
And for heaven's sake relax|И ради всего святого, расслабься
entertaining people from the office is fun|развлекать людей из офиса весело
I know I know but not when it's my new boss|Я знаю, что знаю, но не тогда, когда это мой новый босс
I don't know her very well yet|Я еще не очень хорошо ее знаю
and I just don't want to do anything rude or disrespectful|и я просто не хочу делать ничего грубого или неуважительного
why would you do anything like that|зачем тебе делать что-то подобное
just be yourself and everything will be great|просто будь собой и все будет отлично
I hope so|я надеюсь, что это так
now where should I tell them to sit|теперь где я должен сказать им сесть
well it's customary to seat the most important guests at the head of a table|ну принято усадить самых важных гостей во главе стола
right there|прямо там
got it|понял
and remember it's appropriate to offer your guests a drink when they arrive|и помните, что уместно предложить гостям выпить, когда они придут
be sure to offer both alcoholic and non-alcoholic drinks so they can choose|обязательно предлагайте алкогольные и безалкогольные напитки, чтобы они могли выбирать
a drink right|выпить правильно
right|верно
and then you know even to the conversation before talking about work start with a bit of small talk just to get things going|а потом вы знаете, что даже в разговоре, прежде чем говорить о работе, начните с небольшого разговора, чтобы все пошло.
okay|Ладно
and after everyone's more comfortable|и после того, как всем будет удобнее
you can talk about other things like what's going to happen when you start working in your new position|вы можете поговорить о других вещах, например о том, что произойдет, когда вы начнете работать на новой должности
so is it alright to talk about work while we're having dinner or should I wait until after|Так можно ли говорить о работе во время ужина или мне следует подождать
better wait until after dinner|лучше подождать до ужина
maybe during dessert|возможно во время десерта
and think before you speak|и подумай, прежде чем говорить
don't say anything inappropriate like you did last time|не говори ничего неуместного, как в прошлый раз
I've never said anything inappropriate|Я никогда не говорил ничего неуместного
at least not to anyone at work|по крайней мере, никому на работе
remember the sales conference last year when we told that guy how much you hated the speaker and it was his wife|помните конференцию по продажам в прошлом году, когда мы сказали тому парню, как сильно вы ненавидите спикера, и это была его жена
oh yeah that was bad|о да, это было плохо
oh my gosh|о боже
they're here|они здесь
hmm would you relax|хм, не могли бы вы расслабиться
everything is going to be fine|все будет хорошо
just be yourself|просто будь собой
right be myself|хорошо быть собой
have fun be relaxed|получайте удовольствие, расслабьтесь
got it|понял
excuse me|прошу прощения
little too much soda honey|немного слишком много содового меда
mr. mrs. Sanderson how nice to see you|Мистер. Миссис. Сандерсон, как приятно тебя видеть
do come in|заходи
by the way Mike|кстати Майк
thanks a lot for helping me out with this|большое спасибо за помощь мне с этим
I can't believe Tara got sick|Я не могу поверить, что Тара заболела
and on the day of my first real commercial shoot|и в день моей первой настоящей коммерческой съемки
can you believe it|ты можешь в это поверить
don't worry about it|не беспокойся об этом
it's going to be great|это будет здорово
especially since you have a lovely assistant like me|тем более что у тебя есть прекрасный помощник, как я
right|верно
there that should do it|вот что должно это сделать
got your signs|получил твои знаки
check|проверять
ready mr. Howard|готов MR. Говард
and rolling|и катание
okay|Ладно
furniture showroom commercial take one|Мебель выставочный зал реклама взять один
hello there my name is John Howard|привет меня зовут Джон Ховард
president of Furniture Showroom|президент Мебельного салона
and I'm here to tell you why we're one of the most successful furniture stores around|и я здесь, чтобы рассказать вам, почему мы являемся одним из самых успешных мебельных магазинов в мире
the keys to our success our excellent quality|залог нашего успеха наше отличное качество
great design and affordable prices|отличный дизайн и доступные цены
and who are these keys for|и для кого эти ключи
why for you our customers|почему для вас наши клиенты
and that's why I'm here today|и поэтому я здесь сегодня
