aac  ААС 
ability  способность 
above  выше 
accidental  случайное 
accommodate  разместить 
accommodates  вмещает 
accompanies  сопровождает 
accuracy  точность 
accurate  точный 
achieved  достигнута 
acronym  аббревиатура 
ad  объявление 
adequate  адекватные 
adjust  отрегулировать 
ads  объявления 
advanced  дополнительно 
advantages  преимущества 
advertise  рекламировать 
affect  влияет 
afp  АФП 
aggregation  агрегации 
aggregator  агрегатор 
aging  старение 
aif  АиФ 
alert  предупреждение 
allocate  выделить 
allocated  выделено 
allocation  распределение 
allow  разрешить 
almost  почти 
although  хотя 
among  среди 
amount  сумма 
apparent  очевидно 
appropriate  уместно 
approximately  примерно 
ascending  возрастанию 
asf  АЧС 
assume  предположим 
auth  двиг 
autoexpandable  autoexpandable 
average  средняя 
avoid  избежать 
backed-up  резервной копии 
bandwidth  пропускная способность 
bays  заливы 
baytech  baytech 
become  стать 
behavior  поведение 
being  будучи 
belong  принадлежат 
below  ниже 
benefits  преимущества 
bit-rot  бит-сгниет 
black  черный 
black)  черный) 
blank  пустой 
block  блок 
block)  блок) 
blue  синий 
bond  Бонд 
bonded  кабальный 
bonding  приклеивание 
bonds  облигации 
bondx  bondx 
bond’s  Бонда 
bonjour  Бонжур 
both  оба 
bottom  дно 
box  коробка 
boxes  коробки 
bring  принести 
broadcast  эфир 
browse  обзор 
browser  браузер 
browser-based  браузерная 
browsers  браузеры 
browser’s  браузера 
browsing  просмотр 
built-in  встроенный 
bundle  комплект 
business  бизнес 
businesses  предприятия 
but  но 
button  кнопка 
buttons  кнопки 
buttons)  кнопки) 
by  по 
bytes  байт 
c  с 
ca  Калифорния 
cabin  кабина 
cable  кабель 
cache  кэш 
caching  кэширование 
calculated  рассчитали 
calendar  календарь 
call  звоните 
called  называется 
calls  звонки 
camera  камеры 
cameras  камеры 
can  может 
cancel  отменить 
cannot  не может 
capacity  емкость 
capital  капитал 
captured  захватили 
cards  карты 
case  дело 
case-sensitive  регистр 
cases  случаях 
categories  категории 
cause  причиной 
caused  причиной 
causing  вызывает 
caution  осторожно 
celsius  Цельсия 
center  центр 
certain  некоторые 
certificate  сертификат 
change  изменение 
change)  изменение цены) 
changed  изменилось 
changes  изменения 
changing  изменение 
channel  канал 
chap  глава 
chapter  глава 
chapters  глав 
character  характер 
characters  персонажи 
charts  графика 
chassis  шасси 
check  проверить 
checked  проверено 
checks  проверяет 
checksum  контрольная сумма 
choose  выбрать 
chrome  хром 
chronologically  хронологически 
chunks  чанки 
cifs  Киф 
circumstances  обстоятельства 
cleans  очищает 
clear  понятно 
cleared  растаможен 
clearing  очистка 
click  нажмите 
clicked  нажал 
clicking  нажав 
clicks  кликов 
client  клиент 
clients  клиенты 
clock  часы 
clocks  часы 
clone  клон 
cloned  клонируются 
clones  клоны 
cloning  клонирование 
close  рядом 
closes  закрывается 
cloud  облако 
cloud-based  облачные 
collaboration  сотрудничество 
collapse  крах 
color  цвет 
colored  цветные 
colors  цвета 
column  колонки 
column>x<  колонки>х< 
com  ком 
com)  ком) 
com/about/regulatory  ком/о/регулирования 
com/clouddrive/home/  ком/clouddrive/домашний/ 
com/product/readynas-os6  ком/продукта/компании-ОС 6 C человеческим лицом 
com/raidar  ком/raidar 
com/readynas-hcl  ком/компании-нсl 
com/register  com или зарегистрироваться 
com/support  ком/поддержка 
com/support/product/readynas_os_6  ком/поддержка/продукта/readynas_os_6 
com/t5/readynas-network-storage/ct-p/readynas  ком/Т5/компании-сети хранения/КТ-Р/компании 
combine  совместить 
combined  в сочетании 
combines  совместная 
come  приходят 
comes  приходит 
command  команда 
commands  команды 
common  общие 
commonly  обычно 
communicate  общаться 
communication  общение 
community  сообщество 
company  компания 
compared  по сравнению 
comparison  сравнение 
compatibility  совместимость 
compatible  совместимость 
complete  полное 
completely  полностью 
completes  завершает 
completion  завершение 
complex  комплекс 
compliance  соответствие 
complies  отвечает 
comply  выполнять 
component  компонент 
components  компоненты 
compresses  компрессы 
compression  сжатие 
computer  компьютер 
computers  компьютеры 
concepts  понятия 
conceptual  концептуальные 
concerns  проблемы 
configurable  настраиваемые 
configuration  конфигурации 
configurations  конфигурации 
configure  настроить 
configured  настроен 
configures  настраивает 
configuring  настройка 
confirm  подтвердить 
confirmation  подтверждение 
confirms  подтверждает 
confusing  путаешь 
connect  подключение 
connected  подключен 
connecting  подключение 
connection  подключение 
connection>)  подключение>) 
connections  соединения 
connectivity  подключение 
connects  соединяет 
conserve  сохранить 
considerable  значительный 
considerations  соображения 
consist  состоят 
consistency  последовательность 
consisting  в составе 
console  консоль 
consolidate  закрепить 
consume  потреблять 
consumed  потребляемая 
consumption  потребление 
contact  контакты 
contact's  контакта 
contacts  контакты 
contain  содержать 
contained  содержащиеся 
container  контейнер 
containing  содержащих 
contains  содержит 
content  содержание 
contents  содержание 
continue  далее 
continuing  продолжение 
control  контроль 
control)  контроль) 
controlled  контролируемые 
controller  контроллер 
controlling  контроль 
controls  контроль 
conversion  преобразования 
convert  преобразования 
converts  преобразует 
cool  круто 
copied  скопировал 
copies  копии 
copy  копия 
copy-on-write  копирования при записи 
cord  шнур 
corner  угол 
correct  правильно 
corrected  исправить 
correctly  правильно 
correlate  соотносить 
correspond  соответствуют 
corresponding  соответствующие 
corrupt  поврежден 
corruption  коррупция 
coummunity  coummunity 
covered  крытая 
covers  крышки 
cpu  процессор 
create  создать 
created  создан 
creates  создает 
creating  создание 
creation  создание 
credentials  учетные данные 
critical  критическая 
current  тока 
currently  в настоящее время 
custom  заказ 
customize  настройка 
cyberpower  несмотря на 
cycles циклы
