d  д 
daily  ежедневно 
damaged  поврежден 
dark  темный 
data  данные 
database  базы данных 
databases  баз данных 
date  дата 
dates  даты 
day  день 
days  дней 
ddns  у 
decide  решить 
decides  решает 
decision  решение 
decisions  решения 
decompression  декомпрессия 
decreases  уменьшается 
default  по умолчанию 
default)  по умолчанию) 
defaults  по умолчанию 
define  определить 
defined  определенными 
defrag  дефрагментации 
defragment  дефрагментировать 
defragmentation  дефрагментация 
defragmented  дефрагментировать 
defragmenting  дефрагментация 
degradation  деградация 
degrade  деградировать 
degraded  деградированных 
degrees  градусов 
delay  задержка 
delete  удалить 
deleted  удален 
deletes  удаляет 
deleting  удаление 
deletion  удаление 
delta-transfer  Дельта-передачи 
demand  спрос 
deny  отрицать 
department  отдел 
depend  зависит 
depending  в зависимости от 
depends  зависит 
describe  описать 
described  описано 
describes  описание 
description  описание 
descriptions  описание 
desired  нужные 
desktop  рабочего стола 
destination  пунктом 
destinations  направления 
destroy  уничтожить 
destructive  разрушительные 
detailed  подробная 
details  детали 
detect  обнаружить 
detected  обнаружены 
detection  обнаружение 
detects  обнаруживает 
determine  определить 
determines  определяет 
determining  определение 
device  устройство 
devices  устройства 
device’s  устройства 
devote  посвятить 
dfs  ДПП 
dhcp  протокол DHCP 
dhcpv6  протокол DHCPv6 
diagnose  диагностировать 
dialog  диалог 
did  сделал 
difference  разница 
differences  различия 
different  разные 
differential  дифференциальный 
differs  отличается 
difficulty  сложности 
digital  цифровой 
dim  Дим 
dimmed  наворачивать 
direct  прямые 
directions  маршрут 
directly  напрямую 
directories  каталоги 
directory  каталог 
disable  отключить 
disabled  отключен 
disables  отключает 
disallow  запретить 
disaster  катастрофа 
disconnect  отсоединить 
disconnecting  отключение 
disconnection  отключение 
discover  знакомства 
discovering  знакомства 
discovery  открытие 
disk  диск 
disk)  диск) 
diskless  бездисковая 
disks  диски 
dismiss  уволить 
display  дисплей 
displayed  отображается 
displaying  отображение 
displays  отображает 
distributed  распространяется 
distributes  раздает 
distributing  распространение 
divide  разделить 
divided  разделить 
divides  делит 
divx  в формате DivX 
dlna  по DLNA 
dlna-compliant  DLNA-совместимые 
dlna-enabled  DLNA-совместимых 
dns  ДНС 
do  делать 
document  документ 
documentation  документация 
documents  документы 
does  делает 
dog’s  собаки 
doing  делать 
domain  домен 
domains  Домены 
don't  не 
done  сделано 
down  вниз 
download  скачать 
downloaded  скачал 
downloading  скачивание 
downloads  загрузок 
drive  диск 
drive)  диск) 
drives  диски 
drives)  диски) 
drop  падение 
drop-down  падение-вниз 
dropbox  в Dropbox 
drops  капли 
dual  двойной 
due  из-за 
duplex  двухшпиндельный 
duplicated  дублируются 
duplicates  дубликаты 
during  во время 
dynamic  динамические 
e  е 
each  каждый 
earlier  ранее 
ease  легкость 
easier  легче 
easiest  простой 
easily  легко 
easy  легко 
eaton  Итон 
eda  еда 
edge  края 
edit  редактировать 
edited  редактировать 
editing  редактирование 
effect  эффект 
effective  эффективные 
efficently  эффективно 
efficient  эффективное 
efficiently  эффективно 
egnyte  с egnyte 
egynte  egynte 
eight  восемь 
either  либо 
elect  избрать 
eligible  право 
else  еще 
else)  остальное) 
email  электронной почты 
emailed  по электронной почте 
emergency  чрезвычайных 
employ  использовать 
employee  сотрудник 
empty  пустые 
enable  включить 
enabled  включен 
enables  позволяет 
enabling  включение 
enclosure  корпус 
encrypt  шифрования 
encrypted  зашифрован 
encryption  шифрование 
encryption)  шифрования) 
ending  концовка 
energy  энергии 
enough  достаточно 
ensure  обеспечить 
ensures  обеспечивает 
enter  введите 
entering  ввод 
entire  весь 
entities  лиц 
entries  записи 
entry  запись 
environment  среды 
environments  сред 
equal  равных 
equals  равно 
erase  стереть 
erases  стирает 
error  ошибка 
errors  ошибки 
esata  еѕата 
especially  особенно 
ethernet  сети Ethernet 
even  даже 
event  событие 
events  события 
every  каждый 
everyone  все 
everything  все 
exactly  точно 
examine  изучить 
example  пример 
exceed  превышать 
exceeds  превышает 
except  за исключением 
exceptional  исключительных 
exceptions  исключения 
exclude  исключить 
execute  выполнение 
executed  выполнен 
exhausts  выхлопы 
exist  существует 
existing  существующие 
exists  существует 
expand  развернуть 
expanded  расширенный 
expanding  расширение 
expands  расширяется 
expansion  расширение 
expansion)  расширения) 
experience  опыт 
experiment  эксперимент 
expert  эксперт 
expires  истекает 
explained  объяснил 
explaining  объясняя 
explains  объясняет 
explicit  явные 
explicitly  явно 
explore  изучить 
explorer  проводник 
export  экспорт 
expose  разоблачить 
extend  продлить 
extended  расширенный 
extension  расширение 
external  внешние 
externally  внешне 
extra дополнительные
