m2t  м2т 
m2ts  файлы M2TS 
m3u  в m3u 
m4a  форматы M4A 
m4p  м4п 
m4v  м4в 
mac  Мак 
machine  машина 
machine)  машина) 
machines  машины 
macos  в macOS 
made  сделал 
magic  магия 
mainly  в основном 
maintain  поддерживать 
maintained  поддерживается 
maintains  поддерживает 
maintenance  ремонт 
major  майор 
make  сделать 
makes  делает 
making  делая 
malware  вредоносные программы 
manage  управление 
managed  удалось 
management  управление 
manages  управляет 
managing  управление 
mandatory  обязательным 
manner  образом 
manual  руководство 
manually  вручную 
manuals  руководства 
manufactured  изготовлен 
manufacturer  производитель 
manufacturer-specific  производитель-конкретных 
manufacturers  производители 
manufacturer’s  производителя 
many  многие 
map  карте 
mapping  сопоставление 
maps  карты 
marked  отмечены 
mask  маска 
masked  в маске 
masks  маски 
masquerade  маскарадные 
match  матч 
matching  соответствие 
max  Макс 
maximize  увеличить 
maximum  максимальная 
may  может 
mb  Мб 
me  мне 
measured  измерить 
measurement  измерение 
media  СМИ 
medium  средний 
megabytes  мегабайт 
member  член 
members  члены 
membership  членство 
memory  памяти 
menu  меню 
menus  меню 
message  сообщение 
messages  сообщений 
method  способ 
methods  методы 
mfr  МФР 
mge  Мге 
mib  МИБ 
microsoft  Майкрософт 
midnight  полночь 
might  может 
mind  ум 
minimum  минимальная 
minus  минус 
minute  минуту 
minutes  минут 
miscellaneous  разное 
mixed  смешанные 
mixed-platform  смешанные платформы 
mkv  мкВ 
mobile  мобильный 
mode  режим 
model  модель 
models  модели 
modes  режимы 
modification  модификация 
modified  изменен 
modify  изменить 
module  модуль 
moments  моменты 
monitor  монитор 
monitoring  мониторинг 
monitors  мониторы 
month  месяц 
monthly  ежемесячно 
months  месяцев 
monuser  monuser 
moon  Луна 
more  больше 
more(even  больше(даже 
most  большинство 
mostly  в основном 
mount  гора 
mouse  мышь 
mov  мова 
move  двигаться 
moved  переехал 
moving  переезд 
mozilla  Мозилла 
mp3  МР3 
mp4  МР4 
mpeg  в формате MPEG 
mpg  МПГ 
mtp  ССП 
mts  МТС 
mtu  МТУ 
much  много 
multiple  несколько 
music  музыка 
must  должны 
my  мой 
mynetgear  mynetgear 
name  название 
name>  имя> 
name>/<folder  имя>/<папка 
name>/path  имя>/путь 
name><yyyymmdd><hhmmss>  имя><ггггммдд><ччммсс> 
named  имени 
names  имена 
naming  именования 
nas  НАН 
nas-xx-xx-xx  НАН-хх-хх-хх 
native  родной 
natural  природные 
navigate  перейти 
navigating  навигация 
navigation  навигация 
near  рядом 
necessary  надо 
need  нужно 
needed  нужны 
needing  необходимости 
needs  должен 
negative  негативные 
negotiation  переговоры 
netbios  нетбиос 
netgear  компания 
netgear's  компании Netgear 
netgear’s  компании Netgear 
network  сеть 
network)  сети) 
network-attached  сетевое 
network-connected  подключенных к сети 
network-enabled  сетевые 
networking  сетей 
networks  сетей 
never  никогда 
new  новый 
news  новости 
next  далее 
nfs  НФС 
nfs)  НФС) 
nfs]  НФС] 
nfsv4  в NFSv4 
night  ночь 
nis  НИС 
no  нет 
non-asian  неазиатских 
non-netgear  не компания 
none  нет 
nonreserved  незарезервированное 
nonstandard  нестандартные 
normal  нормальный 
normally  обычно 
not  не 
note  Примечание 
nothing  ничего 
notice  уведомление 
notification  уведомление 
notifications  уведомления 
notified  уведомление 
notify  уведомление 
now  сейчас 
ntfs  файловой системы NTFS 
ntp  НТП 
number  количество 
number)  количество) 
numbered  пронумерованы 
numbers  цифры 
numbers)  цифры) 
nut  гайка 
obtains  получает 
occur  произойти 
occurrence  возникновение 
occurs  происходит 
of  из 
off  от 
off-line  офф-лайн 
offer  предложение 
offers  предложения 
official  официальный 
offline  в автономном режиме 
offset  смещение 
offsite  выездные 
often  часто 
ogg  Огг 
ok  ОК 
old  старый 
older  старше 
oldest  старый 
on  на 
on)  о) 
on-off  вкл-выкл 
onboard  на борту 
once  один раз 
one  один 
one-disk  один диск 
one-time  один раз 
online  онлайн 
only  только 
only)  только) 
onscreen  на экране 
onto  на 
open  открыть 
opens  открывает 
openview  openview 
operates  работает 
operating  рабочая 
operation  операция 
operations  операции 
optimal  оптимальным 
option  вариант 
optional  необязательно 
optionally  дополнительно 
options  варианты 
or  или 
order  заказ 
org  орг 
organization  организация 
organizational  организационные 
organizations  организаций 
organize  организовать 
original  оригинал 
originally  первоначально 
os  ОС 
other  другие 
otherwise  в противном случае 
ou  ОУ 
our  наш 
ous  Оус 
out  из 
outgoing  исходящие 
outlet  выход 
outline  контур 
outs  выходы 
outside  снаружи 
outsiders  аутсайдеры 
over  за 
overallocate  overallocate 
overallocated  превышение 
override  переопределить 
overview  обзор 
overwrite  перезаписать 
own  собственного 
owned  принадлежит 
owner  владелец 
owners  владельцы 
ownership  собственности 
owner’s  владельца 
owns владеет
