packet  пакет 
packets  пакеты 
page  страницы 
page)  страницы) 
pages  страницы 
pair  пара 
panes  области 
parameters  параметры 
parent  родитель 
parents  родители 
part  часть 
partially  частично 
particular  особое 
particularly  особенно 
partition  раздел 
parts  части 
pass  пройти 
passes  проходит 
passive  пассивный 
password  пароль 
password=<password>  password=<пароль> 
passwords  пароли 
past  последние 
paste  вставить 
path  путь 
path>  путь> 
paths  пути 
pattern  шаблон 
paused  помолчал 
pcm  РСМ 
pending  в ожидании 
people  люди 
per  в 
percent  процентов 
percent)  процентов) 
percentage  процент 
perform  проанализировать 
performance  производительности 
performed  проведенные 
performing  выполнение 
period  период 
periodically  периодически 
permanently  постоянно 
permission  разрешение 
permissions  разрешения 
permit  разрешение 
permitted  разрешено 
persistent  стойкие 
person  человек 
personnel  персонала 
photo  фото 
photos  фото 
physical  физические 
physically  физически 
picture  картинка 
pictures  фотографии 
pieces  штук 
place  место 
placed  разместил 
placement  размещение 
play)  играть) 
players  игроки 
playlist  плейлист 
playstation  плейстейшен 
pls  пожалуйста 
plug  вилка 
plug-n-play)  Plug-Н-Play) 
plumeria  плюмерия 
plus  плюс 
point  точка 
point-in-time  момент времени 
point>  пункт> 
point>/path  пункт>/путь 
policies  политика 
policy  политика 
pop-menu  поп-меню 
pop-up  поп-вверх 
popular  популярные 
populated  заполняется 
port  порт 
portable  портативный 
portal  портал 
ports  порты 
position  положение 
positive  положительные 
possible  возможно 
potentially  потенциально 
power  мощность 
powered  питание 
powering  питание 
powers  полномочия 
powerware  ИБП PowerWare 
practice  практика 
precautions  меры предосторожности 
prefer  предпочитаю 
preferably  желательно 
preferences  предпочтения 
preferred  предпочтительный 
prefix  префикс 
preinstalled  предустановлена 
prepared  подготовлены 
present  присутствует 
preserved  сохранились 
press  пресс 
prevent  предотвратить 
prevents  предотвращает 
previous  предыдущие 
previous-generation  предыдущие поколения 
previously  ранее 
primarily  в первую очередь 
primary  основной 
prior  до 
private  частная 
problem  проблема 
problems  проблемы 
procedure  процедура 
procedures  процедуры 
process  процесс 
process)  процесс) 
processes  процессы 
produce  производим 
product  продукт 
production  производство 
products  продукты 
program  программа 
progress  прогресс 
prompt  подскажите 
prompted  запрос 
prompts  подсказки 
properly  правильно 
properties  свойства 
property  собственность 
proprietary  фирменная 
protect  защиты 
protected  защищены 
protecting  защита 
protection  защита 
protection?  защита? 
protects  защищает 
protocol  протокол 
protocol)  протокола) 
protocols  протоколы 
protocols)  протоколы) 
provide  обеспечить 
provided  при условии 
provider  поставщик 
provider)  поставщика) 
provides  обеспечивает 
providing  предоставление 
provision  положение 
provision)  положение) 
provisioned  подготовлены 
provisioning  подготовка 
proxy  прокси 
prune  чернослив 
prunes  чернослив 
ptp  ПТП 
public  общественные 
punctuation  знаки препинания 
purchasing  приобретение 
purposes  целей 
qualified  квалифицированные 
query  запрос 
question  вопрос 
quick  быстрая 
quick-start  быстрый старт 
quicker  быстрее 
quickly  быстро 
quiet  тихий 
quieter  тише 
quite  вполне 
quota  квоты 
quotas квоты
