r2  Р2 
rack-mount  шкаф-маунта 
rackmount  стоечный 
radio  радио 
raid  рейд 
raid-protected  RAID-защитой 
raidar  raidar 
range  диапазон 
raritan  Раритан 
rate  ставка 
rather  а 
re-enter  повторно введите 
read  читать 
read-only  только для чтения 
read/write  чтение/запись 
ready  готов 
readycloud  readycloud 
readydlna  readydlna 
readynas  компании 
readynas)  компании) 
readynas_ip_address>  readynas_ip_address> 
readynasvault  readynasvault 
readynas®  компании® 
real  реальные 
real-time  реального времени 
realm  область 
reasons  причины 
reboot  перезагрузка 
rebooted  перезагружается 
reboots  перезагружается 
receive  получите 
received  получил 
receives  получает 
receiving  получение 
recent  последние 
recipient  получатель 
recognize  признать 
recognized  признание 
recognizes  признает 
recommend  рекомендую 
recommendation  рекомендации 
recommendations  рекомендации 
recommended  рекомендуется 
reconfigure  перенастроить 
reconnect  переподключение 
record  запись 
recorded  записал 
records  записи 
recover  восстановить 
recovered  восстановлены 
recovering  восстановление 
recovery  восстановление 
recreate  воссоздать 
red  красный 
redirect  редирект 
rediscover  переоткройте 
reduce  уменьшить 
reduced  уменьшается 
reduces  уменьшает 
redundancy  избыточность 
redundant  избыточные 
reenter  повторно 
reestablish  восстановить 
refer  см 
reference  ссылка 
references  ссылки 
referred  называют 
refers  относится 
reformat  переформатировать 
reformatted  переформатируются 
reformatting  переформатирование 
refresh  обновить 
regardless  независимо от 
region  области 
register  зарегистрироваться 
registered  зарегистрирован 
registration  Регистрация 
regularly  регулярно 
regulations  правила 
regulatory  регулирования 
reinstall  переустановить 
reinstalls  переустанавливает 
relative  относительный 
release  релиз 
releases  релизы 
reliability  надежность 
reliable  надежный 
relies  полагается 
reload  релоад 
reloads  перезагружает 
remain  остаются 
remains  остается 
remember  помню 
remembering  вспоминая 
remote  дистанционное 
remotely  удаленно 
removal  удаление 
remove  удалить 
removed  удалены 
removes  удаляет 
removing  удаление 
rename  переименовать 
repeat  повторить 
replace  заменить 
replaced  заменил 
replacements  замены 
replaces  заменяет 
replacing  замена 
replicate  повторить 
replicating  тиражирование 
report  отчет 
reported  сообщается 
represent  представляют 
representative  представитель 
request  запрос 
requesting  с просьбой 
require  требуется 
required  требуется 
requirement  требование 
requirements  требования 
requires  требует 
resembles  напоминает 
resent  возмущаться 
reservation  бронирование 
reserved  защищены 
reserves  резервы 
reset  сброс 
resets  сбрасывает 
resetting  сброс 
reside  проживаю 
resided  проживал 
resides  проживает 
resolve  решения 
resolved  решен 
resources  ресурсы 
responds  отвечает 
response  ответ 
restart  перезагрузка 
restarting  перезапуск 
restarts  перезапустится 
restore  восстановление 
restored  восстановлены 
restores  восстанавливает 
restoring  восстановление 
restrict  ограничить 
restricted  ограничен 
restricting  ограничение 
resulting  в результате 
resume  резюме 
resumes  резюме 
resuming  возобновление 
resync  ресинхронизации 
resyncing  resyncing 
retention  удержание 
retrieve  извлечение 
return  вернуться 
returned  вернулся 
returns  возвращает 
reuse  повторное использование 
reverse  обратный 
review  комментарий 
reviews  комментарии 
rewrite  рерайт 
rewritten  переписать 
rfc  РЧЦ 
right  право 
right-click  щелкните правой кнопкой мыши 
rights  прав 
risk  риск 
rmcard201/rmcard100/rmcard202  rmcard201/rmcard100/rmcard202 
rn  рН 
roll  ролл 
rollback  откат 
rolled  прокат 
rolling  прокатки 
root  корень 
rot  сгниет 
rot)  сгнить) 
rotation  вращение 
round-robin  раунд-Робин 
route  маршрут 
routed  маршрутизируется 
router  маршрутизатор 
routes  маршруты 
routine  рутина 
row  строки 
row>  строки> 
rsync  по rsync 
rsync)  по rsync) 
rules  правила 
run  запустить 
running  работает 
rx ГХ
