s  с 
safari  сафари 
safe  безопасный 
safeguard  защиты 
sales  продажи 
samba  Самба 
same  же 
sample  образец 
san  Сан 
save  сохранить 
saved  спас 
saves  спасает 
scan  сканирование 
scanning  сканирование 
scans  сканы 
scenario  сценарий 
schedule  расписание 
scheduled  по расписанию 
scheme  схема 
schemes  схемы 
screen  экран 
scroll  свиток 
scrub  скраб 
scrubbed  драил 
scrubbing  драить 
search  поиск 
searches  поиск 
second  второй 
secondary  вторичный 
seconds  секунд 
section  раздел 
sections  разделы 
secure  безопасной 
securely  надежно 
security  безопасности 
see  см 
segregated  сегрегированные 
select  выберите 
selected  выбранный 
selecting  выбор 
selection  выбор 
selections  выбор 
self-signed  самоподписанный 
send  отправить 
sends  отправляет 
sense  смысл 
sent  отправил 
separate  отдельно 
separated  разделенные 
separating  отделения 
sequence  последовательность 
sequential  последовательный 
serial  серийный 
served  служил 
server  сервер 
servers  сервера 
service  услуги 
service)  услуги) 
services  услуги 
session  сессии 
sessions  сессий 
set  набор 
sets  наборы 
setting  установка 
setting)  установка) 
settings  параметры 
setup  установки 
several  несколько 
shaded  тенистая 
shapshot  снапшот 
share  поделиться 
shared  общая 
shares  акции 
sharing  обмен 
shell  оболочка 
shell)  оболочки) 
short  короткое 
show  показать 
showing  показывая 
shown  показано 
shows  показывает 
shut  закрыть 
shuts  завершает 
shutting  закрываю 
sid  Сид 
side  стороны 
sids)  Сидс) 
sign  знак 
signal  сигнал 
signals  сигналы 
signature  подпись 
signatures  подписи 
signed  подпись 
similar  похожие 
simple  простой 
simplified  упрощенный 
simply  просто 
simultaneously  одновременно 
simultaneously)  одновременно) 
since  так 
single  один 
single-sign-on  единый вход 
single-volume  однотомный 
site  сайт 
sites  сайты 
situation  ситуация 
situations  ситуаций 
six  шесть 
six-bay  шесть-Бэй 
size  размер 
sj-tst-5200  СД-ТСТ-5200 
slash  Слэш 
slashes  слеши 
slave  раб 
sleep  сон 
slide  слайд 
slider  слайдер 
slow  медленно 
slower  медленнее 
small  небольшой 
smaller  меньше 
smallest  маленький 
smart  умный 
smartphone  смартфон 
smb  СМБ 
smtp  протокол SMTP 
smtp)  протокол SMTP) 
snapshot  снимок 
snapshots  снимки 
snmp  СНМП 
so  так 
socomec  Джуп 
software  программное обеспечение 
solaris  Солярис 
solid  твердые 
some  некоторые 
someone  кто-то 
sometimes  иногда 
somewhere  где-то 
sony  Сони 
source  источник 
sources  источники 
space  пространство 
spaces  пространства 
sparse  негусто 
sparsebundle  sparsebundle по 
speaking  говоря 
special  специальные 
specific  конкретные 
specification  спецификация 
specifications  спецификации 
specifics  специфика 
specified  указанный 
specifies  указывает 
specify  указать 
specifying  указание 
speed  скорость 
speed)  скорости) 
speeds  скорости 
spin  спина 
spin-down  спин-вниз 
spread  распространение 
spun  закручивать 
squares  квадраты 
ssh  СШ 
ssh)  СШ) 
ssl  протокол SSL 
stalled  заглох 
stamp  штамп 
stamps  марки 
standard  стандарт 
standardized  стандартизированные 
standby  в режиме ожидания 
start  начать 
started  начал 
starting  начиная 
starts  начинается 
state  государство 
stated  заявил 
stateless  без гражданства 
static  статический 
statistics  статистика 
stats  статистика 
status  статус 
status)  статус) 
step  шаг 
steps  шаги 
still  еще 
stops  останавливается 
storage  хранение 
store  магазин 
stored  хранить 
stores  магазины 
storing  хранение 
straight  прям 
strategies  стратегии 
strategy  стратегии 
stream  поток 
streaming  потоковое 
strictly  строго 
string  строку 
strings  строки 
strip  полосы 
structure  структура 
style  стиль 
subfolder  подпапки 
subfolders  подпапки 
subnet  подсети 
substantially  существенно 
substitute  заменить 
success  успех 
successfully  успешно 
such  такие 
sufficient  достаточно 
suffix  суффикс 
summary  резюме 
sun  солнце 
supplies  поставки 
supply  поставка 
support  поддержка 
support's  поддержки 
supported  поддерживается 
supporting  поддержка 
supports  поддерживает 
sure  уверен 
switch  переключатель 
switches  переключатели 
sync  синхронизация 
synchronize  синхронизировать 
synchronized  синхронизированы 
syncing  синхронизация 
syntax  синтаксис 
system  система 
system_log-<host  system_log-<хост 
systems  систем 
system’s системы
