tab  вкладка 
table  таблица 
tablet  таблетки 
tablet)  таблетки) 
take  взять 
taken  принято 
takes  берет 
taking  принимая 
target  цель 
target's  цели 
targets  цели 
tasks  задачи 
tb  ТБ 
tb)  ТБ) 
tcp  протокол TCP 
tcp/ip  протокол TCP/ИС 
teaming  объединение 
technical  технические 
technologies  технологии 
technology  технология 
temperature  температура 
temperatures  температуры 
temporarily  временно 
temporary  временное 
term  термин 
terminal  терминал 
terms  условия 
terrabytes)  terrabytes) 
test  тест 
test)  тест) 
text  текст 
than  чем 
thank  спасибо 
that  что 
the  в 
theft  воровство 
their  их 
them  их 
themselves  сами 
then  тогда 
there  есть 
therefore  поэтому 
these  эти 
they  они 
thick  толстые 
thick)  толстой) 
thin  тонкий 
third  третий 
this  это 
those  те 
though  хотя 
threads  нити 
three  три 
three-disk  три-диск 
threshold  порог 
through  через 
throughput  пропускная способность 
thumb  большой палец 
time  время 
time-out  тайм-аут 
time-outs  тайм-ауты 
time-stamp  время-штамп 
time-stamped  время 
timeline  сроки 
timemachine  timemachine 
timer  таймер 
times  раз 
tip  совет 
tivo  тиво 
tls  ТЛС 
tls)  ТЛС) 
to  для 
together  вместе 
tolerance  толерантность 
too  слишком 
tool  инструмент 
tools  инструменты 
top  топ 
topics  темы 
total  общая 
trademarks  товарные знаки 
tradeoff  компромисс 
traffic  трафик 
transfer  перевод 
transferred  перевели 
transferring  передача 
transfers  переводы 
translates  переводит 
transmission  передача 
transmit  передать 
transmitted  передаваемые 
transmitting  передачи 
trap  ловушка 
traps  ловушки 
treat  лечить 
treated  лечение 
treats  лечит 
triangle  треугольник 
tries  пытается 
trojans  троянов 
troubleshoot  устранение неполадок 
trusted  надежные 
try  попробовать 
ts  ТС 
tunnel  тоннель 
turn  поворот 
turned  оказалось 
turns  получается 
tutorials  учебники 
tvs  телевизоры 
two  два 
two-bay  два-Бэй 
two-disk  два-диск 
tx  Техас 
type  тип 
type)  тип) 
types  типы 
typical  типичный 
typically  обычно 
typing  набрав 
udp  УДП 
uid  Уид 
unable  можете 
unallocated  нераспределенные 
unassign  отменить 
unassigned  неназначенные 
undefined  неопределено 
under  под 
understand  понимаю 
understanding  понимание 
unexpected  неожиданные 
unexpectedly  неожиданно 
unicenter  местные звонки 
unicode  Юникод 
uninterruptible  источник бесперебойного 
unique  уникальная 
unit  блок 
unit)  блок) 
unix  в Unix 
unix-based  ОС UNIX 
unknown  неизвестно 
unless  если 
unlike  в отличие от 
unlimited  неограниченное 
unlock  разблокировка 
unlocked  разблокирован 
unlocking  отпирание 
unmounted  отмонтировать 
unobstructed  свободный 
until  пока 
up  вверх 
update  обновление 
updated  обновлено 
updates  обновления 
updating  обновление 
upgrade  обновление 
upgraded  модернизированный 
upgrading  обновление 
upload  загрузить 
uploading  загрузка 
uploads  загружает 
upnp  УПНП 
upnp-enabled  поддерживающие технологию UPnP 
upper  верхние 
ups  ИБП 
ups)  ИБП) 
ups’s  ИБП 
usa  США 
usable  полезная 
usage  использование 
usb  USB кабель 
use  использовать 
used  используется 
useful  полезным 
user  пользователь 
user's  пользователя 
user)  пользователя) 
username=<user  имя пользователя=<Пользователь 
users  пользователи 
user’s  пользователя 
uses  использует 
using  используя 
usually  обычно 
utility  утилита 
utilization  использование 
utilizes  использует 
v2  П2 
v3  В3 
v4  В4 
vacation  отпуск 
valid  действует 
validates  проверяет 
value  значение 
values  значения 
varieties  сорта 
variety  разнообразие 
various  различные 
vary  различаются 
vault  хранилище 
vault_options  vault_options 
ventilation  вентиляция 
verify  проверить 
version  версия 
versions  варианты 
vertical  вертикальная 
vertically  вертикально 
very  очень 
video  видео 
videos  видео 
view  вид 
viewing  просмотр 
views  вид 
violations  нарушений 
virtual  виртуальный 
virtualization  виртуализация 
virus  вирус 
viruses  вирусы 
visible  видно 
visit  посетите 
visits  визитов 
vob  ВОБ 
voltage  напряжение 
volume  объем 
volumes  объемы 
volume’s  Тома 
vpn  ВПН 
wait  ждать 
wake  разбудить 
wake-on-lan  Уэйк-на-LAN 
wall  стены 
wan  Ван 
want  хочу 
warn  предупредить 
warning  предупреждение 
warnings  предупреждения 
was  был 
watch  смотреть 
wav  в формате WAV 
way  путь 
ways  способов 
we  мы 
web  веб 
webdav  протокол WebDAV 
website  сайт 
week  неделю 
weekly  еженедельно 
weeks  недели 
well  ну 
were  были 
what  что 
when  когда 
whenever  всякий раз, когда 
where  где 
whether  ли 
which  что 
while  а 
who  кто 
whole  весь 
whom  кому 
whose  чьи 
wide  широкий 
will  будет 
window  окна 
windows  окна 
windows-based  ОС Windows 
windows/nas  окна/НАН 
with  с 
within  в 
without  без 
wizard  мастер 
wizard’s  мастера 
wll  воли 
wma  ВМА 
wmv  ВМА 
word  слово 
work  работа 
workgroup  рабочей группы 
works  строительство 
world  мир 
worms  черви 
would  будет 
wpl  вкладку WPL 
write  писать 
writes  пишет 
writing  пишу 
written  написано 
www  ВСП 
x  х 
x-raid  х-рейд 
x-raid’s  х-рейд 
x-raid™  х-рейд™ 
xbox  для Xbox 
xor  гаммирования 
xvid  веб-камеры 
xx-xx-xx  хх-хх-хх 
xxx  ХХХ 
year  год 
yearly)  годовой) 
yellow  желтый 
yes  да 
yet  еще 
you  вы 
your  ваш 
z  з 
zip  молния 
zipped  молнии 
zone зоны
