aac ААС
ability способность
above выше
accidental случайное
accommodate разместить
accommodates вмещает
accompanies сопровождает
accuracy точность
accurate точный
achieved достигнута
acronym аббревиатура
ad объявление
adequate адекватные
adjust отрегулировать
ads объявления
advanced дополнительно
advantages преимущества
advertise рекламировать
affect влияет
afp АФП
aggregation агрегации
aggregator агрегатор
aging старение
aif АиФ
alert предупреждение
allocate выделить
allocated выделено
allocation распределение
allow разрешить
almost почти
although хотя
among среди
amount сумма
apparent очевидно
appropriate уместно
approximately примерно
ascending возрастанию
asf АЧС
assume предположим
auth двиг
autoexpandable autoexpandable
average средняя
avoid избежать
