able возможность
about о
absolute абсолютная
accept принять
acceptable приемлемо
accessible можно
accessing доступ
accommodates вмещает
according по
account счета
account's счета
accounts счетов
across по
act акт
action действие
actions действия
activate активировать
active активный
actively активно
activity деятельность
actual фактическое
adapter адаптер
adapters адаптеры
adaptive адаптивная
add добавить
added добавлено
adding добавление
addition дополнение
additional дополнительные
additionally дополнительно
address адрес
adds добавляет
adjusts регулировка
admin админ
administer администрирование
administration администрация
administrative административные
administrator администратор
advanced дополнительно
after после
again снова
against против
age возраст
ahead впереди
alerts предупреждения
algorithm алгоритм
algorithms алгоритмы
all все
alliance альянс
alliance) альянс)
allowed допускается
allowing позволяя
allows позволяет
alphabetic алфавитный
alphabetical алфавитный
alphanumeric алфавитно-цифровой
already уже
also также
always всегда
amazon Амазонки
american американский
an в
and и
android андроид
anonymous анонимный
anonymously анонимно
another другой
answer ответ
anti-virus анти-вирус
antivirus антивирус
any любой
anyhost anyhost
anyone кто-нибудь
anything ничего
app приложение
appear появляются
appears появляется
append добавить
apple яблоко
application приложение
applications приложения
apply применить
apps приложения
architecture архитектура
archive архив
are являются
area площадь
around вокруг
arp Арп
array массив
arrays массивы
arrow стрелка
arrows стрелки
as как
asian Азии
ask задать
asking спрашиваю
asks просит
assign назначить
assigned назначены
assigning назначение
assignment назначение
assigns назначает
assisted помощь
associated связанные
assumes предполагается
at в
attach прикрепить
attached прилагается
attempts попытки
audio аудио
author автор
authorize разрешаю
auto авто
autoconfiguration автонастройка
automatic автоматическая
automatically автоматически
automatically/dhcp автоматически/DHCP-сервер
available доступен
avi Ави
away отсюда
a–z а–Z
b б
back назад
backed опираясь
background фон
backing поддержка
backs спиной
backslash слеш
bad плохо
balance баланс
balanced сбалансированный
balances остатки
balancing балансировка
banks банки
bar бар
base база
basic основные
basics основы
batch партия
battery аккумулятор
be быть
becomes становится
before перед
begin начать
beginning начало
begins начинается
belonged принадлежал
belonging принадлежность
belongs принадлежит
best лучшие
better лучше
between между
bidirectional двунаправленный
bit немного
bit) бит)
box коробка
but но
by по
check проверить
cleared растаможен
compression сжатие
configure настроить
data данные
decompression декомпрессия
enable включить
from от
how как
increases увеличивается
is это
menu меню
of из
often часто
processes процессы
protection защита
resources ресурсы
saves спасает
select выберите
space пространство
speed скорость
the в
through через
to для
